Posted On,BHK,Rent,Size,Floor,Area Locality,City,Bathroom,Area Type_Carpet Area,Area Type_Super Area,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Builder,Point of Contact_Contact Owner
2022-05-18,2,10000,1100,Ground out of 2,Bandel,Kolkata,2,0,1,0,1,1,0,0,1
2022-05-13,2,20000,800,1 out of 3,"Phool Bagan, Kankurgachi",Kolkata,1,0,1,1,0,1,0,0,1
2022-05-16,2,17000,1000,1 out of 3,Salt Lake City Sector 2,Kolkata,1,0,1,1,0,1,0,0,1
2022-07-04,2,10000,800,1 out of 2,Dumdum Park,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-09,2,7500,850,1 out of 2,South Dum Dum,Kolkata,1,1,0,0,1,0,0,0,1
2022-04-29,2,7000,600,Ground out of 1,Thakurpukur,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-21,2,10000,700,Ground out of 4,Malancha,Kolkata,2,0,1,0,1,0,0,0,0
2022-06-21,1,5000,250,1 out of 2,Malancha,Kolkata,1,0,1,0,1,0,0,0,0
2022-06-07,2,26000,800,1 out of 2,"Palm Avenue Kolkata, Ballygunge",Kolkata,2,1,0,0,1,0,0,0,0
2022-06-20,2,10000,1000,1 out of 3,Natunhat,Kolkata,2,1,0,1,0,1,0,0,1
2022-05-23,3,25000,1200,1 out of 4,"Action Area 1, Rajarhat Newtown",Kolkata,2,1,0,1,0,1,0,0,0
2022-06-07,1,5000,400,1 out of 1,Keshtopur,Kolkata,1,1,0,0,1,1,0,0,0
2022-05-14,1,6500,250,1 out of 4,"Tarulia, Keshtopur",Kolkata,1,1,0,0,0,0,0,0,1
2022-05-09,1,5500,375,1 out of 2,Dum Dum Metro,Kolkata,1,1,0,0,1,1,0,0,0
2022-05-05,3,8500,900,Ground out of 2,Paschim Barisha,Kolkata,2,1,0,0,1,0,0,0,1
2022-06-01,3,40000,1286,1 out of 1,New Town Action Area 1,Kolkata,2,1,0,0,0,1,0,0,1
2022-05-17,2,6000,600,1 out of 2,Barasat,Kolkata,1,0,1,1,0,1,0,0,1
2022-06-20,2,10000,800,Ground out of 2,Behala,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-09,2,11000,2000,Ground out of 3,Behala Chowrasta,Kolkata,1,1,0,0,1,1,0,0,1
2022-06-09,2,6000,660,1 out of 2,Behala,Kolkata,1,0,1,0,1,1,0,0,1
2022-07-02,2,7900,650,1 out of 2,Santoshpur,Kolkata,1,1,0,0,1,0,1,0,1
2022-06-14,2,9000,400,2 out of 3,"Garia Station, Garia",Kolkata,2,1,0,0,1,0,0,0,1
2022-06-15,1,4000,300,Ground out of 4,"Garia Station, Garia",Kolkata,1,1,0,0,1,1,0,0,1
2022-06-15,3,6500,1600,Ground out of 2,Joka,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-28,1,8000,400,1 out of 2,Sreebhumi,Kolkata,1,0,1,1,0,0,0,0,0
2022-05-22,2,7000,1000,1 out of 1,Rajarhat,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-18,1,5300,355,1 out of 1,Dum Dum,Kolkata,1,1,0,1,0,1,0,0,0
2022-06-25,2,6000,1000,Ground out of 3,"Kodalia, Hooghly-Chinsurah",Kolkata,1,0,1,1,0,1,0,0,1
2022-06-22,2,8500,800,4 out of 5,Baguiati,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-25,2,12500,850,Ground out of 2,"Rabindra Sarobar Area, Dhakuria",Kolkata,2,0,1,0,1,1,0,0,1
